filename,#state
log-gcd-t3-s-i-gcd2.log,58700
log-gcd-t3-s-i-gcd3.log,230085
log-gcd-t3-s-n-gcd1.log,17669
log-gcd-t3-s-n-gcd2.log,144634
log-gcd-t3-s-p-gcd1.log,4086
log-gcd-t3-s-p-gcd2.log,19344
log-gcd-t3-s-p-gcd3.log,96947
log-gcd-t4-c-a-gcd1.log,83649
log-gcd-t4-c-a-gcd2.log,256644
log-gcd-t4-c-i-gcd1.log,14610
log-gcd-t4-c-i-gcd2.log,110873
log-gcd-t4-c-i-gcd3.log,252117
log-gcd-t4-c-n-gcd1.log,90900
log-gcd-t4-c-p-gcd1.log,11765
log-gcd-t4-c-p-gcd2.log,38420
log-gcd-t4-c-p-gcd3.log,127105
log-gcd-t4-s-a-gcd1.log,9020
log-gcd-t4-s-a-gcd2.log,41141
log-gcd-t4-s-a-gcd3.log,119740
log-gcd-t4-s-i-gcd1.log,6465
log-gcd-t4-s-i-gcd2.log,47116
log-gcd-t4-s-i-gcd3.log,123640
log-gcd-t4-s-n-gcd1.log,15516
log-gcd-t4-s-n-gcd2.log,117435
log-gcd-t4-s-n-gcd3.log,304550
log-gcd-t4-s-p-gcd1.log,3771
log-gcd-t4-s-p-gcd2.log,16627
log-gcd-t4-s-p-gcd3.log,46540
log-gcd-t5-c-a-gcd1.log,3254
log-gcd-t5-c-a-gcd2.log,11069
log-gcd-t5-c-a-gcd3.log,23086
log-gcd-t5-c-i-gcd1.log,1442
log-gcd-t5-c-i-gcd2.log,6176
log-gcd-t5-c-i-gcd3.log,11839
log-gcd-t5-c-n-gcd1.log,3315
log-gcd-t5-c-n-gcd2.log,14573
log-gcd-t5-c-n-gcd3.log,27231
log-gcd-t5-c-p-gcd1.log,1381
log-gcd-t5-c-p-gcd2.log,4637
log-gcd-t5-c-p-gcd3.log,9617
log-gcd-t5-s-a-gcd1.log,346
log-gcd-t5-s-a-gcd2.log,901
log-gcd-t5-s-a-gcd3.log,1644
log-gcd-t5-s-i-gcd1.log,510
log-gcd-t5-s-i-gcd2.log,1540
log-gcd-t5-s-i-gcd3.log,2817
log-gcd-t5-s-n-gcd1.log,510
log-gcd-t5-s-n-gcd2.log,1540
log-gcd-t5-s-n-gcd3.log,2817
log-gcd-t5-s-p-gcd1.log,346
log-gcd-t5-s-p-gcd2.log,809
log-gcd-t5-s-p-gcd3.log,1538
