filename,time(ms)
log-con-t1-c-n-gcd3.log,-
log-con-t1-c-p-gcd1.log,-
log-con-t1-c-p-gcd2.log,-
log-con-t1-c-p-gcd3.log,-
log-con-t1-s-a-gcd1.log,-
log-con-t1-s-a-gcd2.log,-
log-con-t1-s-a-gcd3.log,-
log-con-t1-s-i-gcd1.log,-
log-con-t1-s-i-gcd2.log,-
log-con-t1-s-i-gcd3.log,-
log-con-t1-s-n-gcd1.log,-
log-con-t1-s-n-gcd2.log,-
log-con-t1-s-n-gcd3.log,-
log-con-t1-s-p-gcd1.log,-
log-con-t1-s-p-gcd2.log,-
log-con-t1-s-p-gcd3.log,-
log-con-t2-c-a-gcd1.log,-
log-con-t2-c-a-gcd2.log,-
log-con-t2-c-a-gcd3.log,-
log-con-t2-c-i-gcd1.log,-
log-con-t2-c-i-gcd2.log,-
log-con-t2-c-i-gcd3.log,-
log-con-t2-c-n-gcd1.log,-
log-con-t2-c-n-gcd2.log,-
log-con-t2-c-n-gcd3.log,-
log-con-t2-c-p-gcd1.log,-
log-con-t2-c-p-gcd2.log,-
log-con-t2-c-p-gcd3.log,-
log-con-t2-s-a-gcd1.log,-
log-con-t2-s-a-gcd2.log,-
log-con-t2-s-a-gcd3.log,-
log-con-t2-s-i-gcd1.log,-
log-con-t2-s-i-gcd2.log,-
log-con-t2-s-i-gcd3.log,-
log-con-t2-s-n-gcd1.log,-
log-con-t2-s-n-gcd2.log,-
log-con-t2-s-n-gcd3.log,-
log-con-t2-s-p-gcd1.log,-
log-con-t2-s-p-gcd2.log,-
log-con-t2-s-p-gcd3.log,-
log-con-t3-c-a-gcd1.log,-
log-con-t3-c-a-gcd2.log,-
log-con-t3-c-a-gcd3.log,-
log-con-t3-c-i-gcd1.log,-
log-con-t3-c-i-gcd2.log,-
log-con-t3-c-i-gcd3.log,-
log-con-t3-c-n-gcd1.log,-
log-con-t3-c-n-gcd2.log,-
log-con-t3-c-n-gcd3.log,-
log-con-t3-c-p-gcd1.log,-
log-con-t3-c-p-gcd2.log,-
log-con-t3-c-p-gcd3.log,-
log-con-t3-s-a-gcd1.log,-
log-con-t3-s-a-gcd2.log,-
log-con-t3-s-a-gcd3.log,-
log-con-t3-s-i-gcd1.log,-
log-con-t3-s-i-gcd2.log,-
log-con-t3-s-i-gcd3.log,-
log-con-t3-s-n-gcd1.log,-
log-con-t3-s-n-gcd2.log,-
log-con-t3-s-n-gcd3.log,-
log-con-t3-s-p-gcd1.log,-
log-con-t3-s-p-gcd2.log,-
log-con-t3-s-p-gcd3.log,-
log-con-t4-c-a-gcd1.log,-
log-con-t4-c-a-gcd2.log,-
log-con-t4-c-a-gcd3.log,-
log-con-t4-c-i-gcd1.log,-
log-con-t4-c-i-gcd2.log,-
log-con-t4-c-i-gcd3.log,-
log-con-t4-c-n-gcd1.log,-
log-con-t4-c-n-gcd2.log,-
log-con-t4-c-n-gcd3.log,-
log-con-t4-c-p-gcd1.log,-
log-con-t4-c-p-gcd2.log,-
log-con-t4-c-p-gcd3.log,-
log-con-t4-s-a-gcd1.log,-
log-con-t4-s-a-gcd2.log,-
log-con-t4-s-a-gcd3.log,-
log-con-t4-s-i-gcd1.log,-
log-con-t4-s-i-gcd2.log,-
log-con-t4-s-i-gcd3.log,-
log-con-t4-s-n-gcd1.log,-
log-con-t4-s-n-gcd2.log,-
log-con-t4-s-n-gcd3.log,-
log-con-t4-s-p-gcd1.log,-
log-con-t4-s-p-gcd2.log,-
log-con-t4-s-p-gcd3.log,-
log-con-t5-c-a-gcd1.log,-
log-con-t5-c-a-gcd2.log,-
log-con-t5-c-a-gcd3.log,-
log-con-t5-c-i-gcd1.log,3075400
log-con-t5-c-i-gcd2.log,-
log-con-t5-c-i-gcd3.log,-
log-con-t5-c-n-gcd1.log,-
log-con-t5-c-n-gcd2.log,-
log-con-t5-c-n-gcd3.log,-
log-con-t5-c-p-gcd1.log,2537608
log-con-t5-c-p-gcd2.log,-
log-con-t5-c-p-gcd3.log,-
log-con-t5-s-a-gcd1.log,-
log-con-t5-s-a-gcd2.log,-
log-con-t5-s-a-gcd3.log,-
log-con-t5-s-i-gcd1.log,1291444
log-con-t5-s-i-gcd2.log,-
log-con-t5-s-i-gcd3.log,-
log-con-t5-s-n-gcd1.log,-
log-con-t5-s-n-gcd2.log,-
log-con-t5-s-n-gcd3.log,-
log-con-t5-s-p-gcd1.log,302844
log-con-t5-s-p-gcd2.log,2911948
log-con-t5-s-p-gcd3.log,-
