filename,time(ms),#state
log-gcd-t1-s-i-gcd1.log,2249220,200619
log-gcd-t1-s-i-gcd2.log,-,-
log-gcd-t1-s-i-gcd3.log,-,-
log-gcd-t1-s-n-gcd1.log,7797488,-
log-gcd-t1-s-n-gcd2.log,-,-
log-gcd-t1-s-n-gcd3.log,-,-
log-gcd-t1-s-p-gcd1.log,817952,78049
log-gcd-t1-s-p-gcd2.log,4523144,-
log-gcd-t1-s-p-gcd3.log,-,-
log-gcd-t2-c-a-gcd1.log,3123244,251236
log-gcd-t2-c-a-gcd2.log,9009304,-
log-gcd-t2-c-a-gcd3.log,-,-
log-gcd-t2-c-i-gcd1.log,838384,88420
log-gcd-t2-c-i-gcd2.log,-,-
log-gcd-t2-c-i-gcd3.log,-,-
log-gcd-t2-c-n-gcd1.log,7316720,-
log-gcd-t2-c-n-gcd2.log,-,-
log-gcd-t2-c-n-gcd3.log,-,-
log-gcd-t2-c-p-gcd1.log,347872,37864
log-gcd-t2-c-p-gcd2.log,1084264,115957
log-gcd-t2-c-p-gcd3.log,12739076,-
log-gcd-t2-s-a-gcd1.log,442484,37938
log-gcd-t2-s-a-gcd2.log,2566048,207958
log-gcd-t2-s-a-gcd3.log,-,-
log-gcd-t2-s-i-gcd1.log,340060,36844
log-gcd-t2-s-i-gcd2.log,4511684,-
log-gcd-t2-s-i-gcd3.log,-,-
log-gcd-t2-s-n-gcd1.log,1084032,86998
log-gcd-t2-s-n-gcd2.log,-,-
log-gcd-t2-s-n-gcd3.log,-,-
log-gcd-t2-s-p-gcd1.log,144200,16122
log-gcd-t2-s-p-gcd2.log,759452,83592
log-gcd-t2-s-p-gcd3.log,6093600,-
log-gcd-t3-c-a-gcd1.log,895808,87480
log-gcd-t3-c-a-gcd2.log,2839920,269467
log-gcd-t3-c-a-gcd3.log,8040480,-
log-gcd-t3-c-i-gcd1.log,137636,17804
log-gcd-t3-c-i-gcd2.log,1371808,174324
log-gcd-t3-c-i-gcd3.log,3330288,403469
log-gcd-t3-c-n-gcd1.log,1017596,98020
log-gcd-t3-c-n-gcd2.log,13420264,-
log-gcd-t3-c-n-gcd3.log,-,-
log-gcd-t3-c-p-gcd1.log,106180,13723
log-gcd-t3-c-p-gcd2.log,352616,45171
log-gcd-t3-c-p-gcd3.log,1151992,144208
log-gcd-t3-s-a-gcd1.log,91528,9404
log-gcd-t3-s-a-gcd2.log,466860,46732
log-gcd-t3-s-a-gcd3.log,2448628,240441
log-gcd-t3-s-i-gcd1.log,58648,7631
log-gcd-t3-s-i-gcd2.log,449028,58700
log-gcd-t3-s-i-gcd3.log,1858484,230085
log-gcd-t3-s-n-gcd1.log,178912,17669
log-gcd-t3-s-n-gcd2.log,1503560,144634
log-gcd-t3-s-n-gcd3.log,6052960,-
log-gcd-t3-s-p-gcd1.log,30448,4086
log-gcd-t3-s-p-gcd2.log,145708,19344
log-gcd-t3-s-p-gcd3.log,751500,96947
log-gcd-t4-c-a-gcd1.log,838460,83649
log-gcd-t4-c-a-gcd2.log,2632932,256644
log-gcd-t4-c-a-gcd3.log,9800376,-
log-gcd-t4-c-i-gcd1.log,110484,14610
log-gcd-t4-c-i-gcd2.log,847176,110873
log-gcd-t4-c-i-gcd3.log,1956592,252117
log-gcd-t4-c-n-gcd1.log,919272,90900
log-gcd-t4-c-n-gcd2.log,7572204,-
log-gcd-t4-c-n-gcd3.log,-,-
log-gcd-t4-c-p-gcd1.log,88492,11765
log-gcd-t4-c-p-gcd2.log,290164,38420
log-gcd-t4-c-p-gcd3.log,968232,127105
log-gcd-t4-s-a-gcd1.log,86300,9020
log-gcd-t4-s-a-gcd2.log,405588,41141
log-gcd-t4-s-a-gcd3.log,1148844,119740
log-gcd-t4-s-i-gcd1.log,48416,6465
log-gcd-t4-s-i-gcd2.log,354304,47116
log-gcd-t4-s-i-gcd3.log,949968,123640
log-gcd-t4-s-n-gcd1.log,154140,15516
log-gcd-t4-s-n-gcd2.log,1191740,117435
log-gcd-t4-s-n-gcd3.log,3175476,304550
log-gcd-t4-s-p-gcd1.log,27744,3771
log-gcd-t4-s-p-gcd2.log,122432,16627
log-gcd-t4-s-p-gcd3.log,344740,46540
log-gcd-t5-c-a-gcd1.log,24556,3254
log-gcd-t5-c-a-gcd2.log,82344,11069
log-gcd-t5-c-a-gcd3.log,167368,23086
log-gcd-t5-c-i-gcd1.log,8392,1442
log-gcd-t5-c-i-gcd2.log,35456,6176
log-gcd-t5-c-i-gcd3.log,67280,11839
log-gcd-t5-c-n-gcd1.log,25192,3315
log-gcd-t5-c-n-gcd2.log,107556,14573
log-gcd-t5-c-n-gcd3.log,198352,27231
log-gcd-t5-c-p-gcd1.log,8008,1381
log-gcd-t5-c-p-gcd2.log,26816,4637
log-gcd-t5-c-p-gcd3.log,54732,9617
log-gcd-t5-s-a-gcd1.log,2504,346
log-gcd-t5-s-a-gcd2.log,5824,901
log-gcd-t5-s-a-gcd3.log,11104,1644
log-gcd-t5-s-i-gcd1.log,2928,510
log-gcd-t5-s-i-gcd2.log,8764,1540
log-gcd-t5-s-i-gcd3.log,15972,2817
log-gcd-t5-s-n-gcd1.log,3828,510
log-gcd-t5-s-n-gcd2.log,11756,1540
log-gcd-t5-s-n-gcd3.log,21368,2817
log-gcd-t5-s-p-gcd1.log,1964,346
log-gcd-t5-s-p-gcd2.log,4576,809
log-gcd-t5-s-p-gcd3.log,8608,1538
