Computing reachable states... 
Iteration 151... 152 sym states passed, 17 waiting 0.00300001s
Iteration 152... 153 sym states passed, 17 waiting 0.00300001s
Iteration 153... 154 sym states passed, 16 waiting 0.00100001s
Iteration 154... 155 sym states passed, 16 waiting 0.00200001s
Iteration 155... 156 sym states passed, 16 waiting 0.00300001s
Iteration 156... 157 sym states passed, 15 waiting 0.00100001s
Iteration 157... 158 sym states passed, 15 waiting 0.00200001s
Iteration 158... 159 sym states passed, 15 waiting 0.00300001s
Iteration 159... 160 sym states passed, 14 waiting 0.00100001s
Iteration 160... 161 sym states passed, 16 waiting 0.00400001s
Iteration 161... 162 sym states passed, 15 waiting 0.00200001s
Iteration 162... 163 sym states passed, 17 waiting 0.00400001s
Iteration 163... 164 sym states passed, 16 waiting 0.00200001s
Iteration 164... 165 sym states passed, 18 waiting 0.00400001s
Iteration 165... 166 sym states passed, 17 waiting 0.00200001s
Iteration 166... 167 sym states passed, 19 waiting 0.00400001s
Iteration 167... 168 sym states passed, 18 waiting 0.00200001s
Iteration 168... 169 sym states passed, 17 waiting 0.00200001s
Iteration 169... 170 sym states passed, 16 waiting 0.00200001s
Iteration 170... 171 sym states passed, 18 waiting 0.00400001s
Iteration 171... 172 sym states passed, 17 waiting 0.00200001s
Iteration 172... 173 sym states passed, 19 waiting 0.00400001s
Iteration 173... 174 sym states passed, 18 waiting 0.00200001s
Iteration 174... 175 sym states passed, 19 waiting 0.00300001s
Iteration 175... 176 sym states passed, 20 waiting 0.00300001s
Iteration 176... 177 sym states passed, 20 waiting 0.00500001s
Iteration 177... 178 sym states passed, 21 waiting 0.00300001s
Iteration 178... 179 sym states passed, 22 waiting 0.00300001s
Iteration 179... 180 sym states passed, 22 waiting 0.00500001s
Iteration 180... 181 sym states passed, 23 waiting 0.00300001s
Iteration 181... 182 sym states passed, 24 waiting 0.00300001s
Iteration 182... 183 sym states passed, 24 waiting 0.00500001s
Iteration 183... 184 sym states passed, 25 waiting 0.00300001s
Iteration 184... 185 sym states passed, 26 waiting 0.00300001s
Iteration 185... 186 sym states passed, 26 waiting 0.00600001s
Iteration 186... 187 sym states passed, 27 waiting 0.00300001s
Iteration 187... 188 sym states passed, 28 waiting 0.00300001s
Iteration 188... 189 sym states passed, 28 waiting 0.00600001s
Iteration 189... 190 sym states passed, 29 waiting 0.00300001s
Iteration 190... 191 sym states passed, 30 waiting 0.00300001s
Iteration 191... 192 sym states passed, 30 waiting 0.00600001s
Iteration 192... 193 sym states passed, 31 waiting 0.00300001s
Iteration 193... 194 sym states passed, 31 waiting 0.00300001s
Iteration 194... 195 sym states passed, 32 waiting 0.00300001s
Iteration 195... 196 sym states passed, 32 waiting 0.00300001s
Iteration 196... 197 sym states passed, 32 waiting 0.00300001s
Iteration 197... 198 sym states passed, 33 waiting 0.00300001s
Iteration 198... 199 sym states passed, 33 waiting 0.00300001s
Iteration 199... 200 sym states passed, 34 waiting 0.00300001s
Iteration 200... 201 sym states passed, 34 waiting 0.00300001s
Iteration 201... 202 sym states passed, 34 waiting 0.00300001s
Iteration 202... 203 sym states passed, 35 waiting 0.00300001s
Iteration 203... 204 sym states passed, 35 waiting 0.00300001s
Iteration 204... 205 sym states passed, 36 waiting 0.00300001s
Iteration 205... 206 sym states passed, 36 waiting 0.00400001s
Iteration 206... 207 sym states passed, 36 waiting 0.00300001s
Iteration 207... 208 sym states passed, 37 waiting 0.00300001s
Iteration 208... 209 sym states passed, 37 waiting 0.00400001s
Iteration 209... 210 sym states passed, 38 waiting 0.00300001s
Iteration 210... 211 sym states passed, 38 waiting 0.00400001s
Iteration 211... 212 sym states passed, 38 waiting 0.00300001s
Iteration 212... 213 sym states passed, 39 waiting 0.00300001s
Iteration 213... 214 sym states passed, 39 waiting 0.00400001s
Iteration 214... 215 sym states passed, 40 waiting 0.00300001s
Iteration 215... 216 sym states passed, 40 waiting 0.00400001s
Iteration 216... 217 sym states passed, 40 waiting 0.00300001s
Iteration 217... 218 sym states passed, 41 waiting 0.00300001s
Iteration 218... 219 sym states passed, 41 waiting 0.00400001s
Iteration 219... 220 sym states passed, 42 waiting 0.00300001s
Iteration 220... 221 sym states passed, 42 waiting 0.00400001s
Iteration 221... 222 sym states passed, 42 waiting 0.00300001s
Iteration 222... 223 sym states passed, 41 waiting 0.00300001s
Iteration 223... 224 sym states passed, 42 waiting 0.00300001s
Iteration 224... 225 sym states passed, 42 waiting 0.00300001s
Iteration 225... 226 sym states passed, 41 waiting 0.00300001s
Iteration 226... 227 sym states passed, 42 waiting 0.00300001s
Iteration 227... 228 sym states passed, 42 waiting 0.00300001s
Iteration 228... 229 sym states passed, 41 waiting 0.00200001s
Iteration 229... 230 sym states passed, 40 waiting 0.00300001s
Iteration 230... 231 sym states passed, 41 waiting 0.00300001s
Iteration 231... 232 sym states passed, 41 waiting 0.00300001s
Iteration 232... 233 sym states passed, 40 waiting 0.00300001s
Iteration 233... 234 sym states passed, 41 waiting 0.00300001s
Iteration 234... 235 sym states passed, 41 waiting 0.00300001s
Iteration 235... 236 sym states passed, 40 waiting 0.00200001s
Iteration 236... 237 sym states passed, 39 waiting 0.00300001s
Iteration 237... 238 sym states passed, 40 waiting 0.00300001s
Iteration 238... 239 sym states passed, 40 waiting 0.00300001s
Iteration 239... 240 sym states passed, 39 waiting 0.00300001s
Iteration 240... 241 sym states passed, 40 waiting 0.00300001s
Iteration 241... 242 sym states passed, 40 waiting 0.00300001s
Iteration 242... 243 sym states passed, 39 waiting 0.00200001s
Iteration 243... 244 sym states passed, 38 waiting 0.00300001s
Iteration 244... 245 sym states passed, 39 waiting 0.00300001s
Iteration 245... 246 sym states passed, 39 waiting 0.00300001s
