Computing reachable states... 
Iteration 143... 137 sym states passed, 13 waiting 0.00600001s
Iteration 144... 138 sym states passed, 12 waiting 0.00200001s
Iteration 145... 139 sym states passed, 12 waiting 0.00300001s
Iteration 146... 140 sym states passed, 12 waiting 0.00300001s
Iteration 147... 141 sym states passed, 14 waiting 0.00500001s
Iteration 148... 142 sym states passed, 13 waiting 0.00400001s
Iteration 149... 143 sym states passed, 12 waiting 0.00400001s
Iteration 150... 144 sym states passed, 11 waiting 0.00200001s
Iteration 151... 145 sym states passed, 12 waiting 0.00400001s
Iteration 152... 146 sym states passed, 11 waiting 0.00500001s
Iteration 153... 147 sym states passed, 10 waiting 0.00300001s
Iteration 154... 148 sym states passed, 11 waiting 0.00500001s
Iteration 155... 149 sym states passed, 12 waiting 0.00400001s
Iteration 156... 150 sym states passed, 11 waiting 0.00600001s
Iteration 157... 151 sym states passed, 10 waiting 0.00300001s
Iteration 158... 152 sym states passed, 9 waiting 0.00300001s
Iteration 159... 153 sym states passed, 9 waiting 0.00300001s
Iteration 160... 154 sym states passed, 9 waiting 0.00300001s
Iteration 161... 155 sym states passed, 8 waiting 0.00600001s
Iteration 162... 156 sym states passed, 8 waiting 0.00300001s
Iteration 163... 157 sym states passed, 7 waiting 0.00500001s
Iteration 164... 158 sym states passed, 7 waiting 0.00300001s
Iteration 165... 159 sym states passed, 6 waiting 0.00500001s
Iteration 166... 160 sym states passed, 6 waiting 0.00300001s
Iteration 167... 161 sym states passed, 5 waiting 0.00600001s
Iteration 168... 162 sym states passed, 5 waiting 0.00300001s
Iteration 169... 163 sym states passed, 5 waiting 0.00400001s
Iteration 170... 164 sym states passed, 5 waiting 0.00300001s
Iteration 171... 165 sym states passed, 5 waiting 0.00300001s
Iteration 172... 166 sym states passed, 5 waiting 0.00300001s
Iteration 173... 167 sym states passed, 5 waiting 0.00400001s
Iteration 174... 168 sym states passed, 5 waiting 0.00400001s
Iteration 175... 169 sym states passed, 5 waiting 0.00300001s
Iteration 176... 170 sym states passed, 5 waiting 0.00300001s
Iteration 177... 171 sym states passed, 5 waiting 0.00300001s
Iteration 178... 172 sym states passed, 5 waiting 0.00300001s
Iteration 179... 173 sym states passed, 5 waiting 0.00300001s
Iteration 180... 174 sym states passed, 5 waiting 0.00300001s
Iteration 181... 175 sym states passed, 5 waiting 0.00200001s
Iteration 182... 176 sym states passed, 5 waiting 0.00300001s
Iteration 183... 177 sym states passed, 6 waiting 0.00400001s
Iteration 184... 178 sym states passed, 7 waiting 0.00400001s
Iteration 185... 179 sym states passed, 8 waiting 0.00400001s
Iteration 186... 180 sym states passed, 9 waiting 0.00400001s
Iteration 187... 181 sym states passed, 10 waiting 0.00400001s
Iteration 188... 182 sym states passed, 11 waiting 0.00600001s
Iteration 189... 183 sym states passed, 12 waiting 0.00500001s
Iteration 190... 184 sym states passed, 13 waiting 0.00600001s
Iteration 191... 185 sym states passed, 14 waiting 0.00600001s
Iteration 192... 186 sym states passed, 16 waiting 0.00700001s
Iteration 193... 187 sym states passed, 17 waiting 0.00600001s
Iteration 194... 188 sym states passed, 19 waiting 0.00700001s
Iteration 195... 189 sym states passed, 19 waiting 0.00500001s
Iteration 196... 190 sym states passed, 20 waiting 0.00700001s
Iteration 197... 191 sym states passed, 21 waiting 0.00600001s
Iteration 198... 192 sym states passed, 21 waiting 0.00400001s
Iteration 199... 193 sym states passed, 21 waiting 0.00600001s
Iteration 200... 193 sym states passed, 20 waiting 0.00900001s
Iteration 201... 194 sym states passed, 20 waiting 0.00400001s
Iteration 202... 195 sym states passed, 20 waiting 0.00400001s
Iteration 203... 196 sym states passed, 20 waiting 0.00600001s
Iteration 204... 196 sym states passed, 19 waiting 0.00800001s
Iteration 205... 197 sym states passed, 19 waiting 0.00400001s
Iteration 206... 198 sym states passed, 19 waiting 0.00400001s
Iteration 207... 199 sym states passed, 19 waiting 0.00500001s
Iteration 208... 200 sym states passed, 19 waiting 0.00700001s
Iteration 209... 200 sym states passed, 18 waiting 0.00900001s
Iteration 210... 201 sym states passed, 18 waiting 0.00400001s
Iteration 211... 202 sym states passed, 18 waiting 0.00400001s
Iteration 212... 203 sym states passed, 18 waiting 0.00400001s
Iteration 213... 204 sym states passed, 17 waiting 0.00700001s
Iteration 214... 204 sym states passed, 16 waiting 0.00800001s
Iteration 215... 205 sym states passed, 16 waiting 0.00500001s
Iteration 216... 206 sym states passed, 16 waiting 0.00600001s
Iteration 217... 206 sym states passed, 15 waiting 0.00900001s
Iteration 218... 207 sym states passed, 15 waiting 0.00400001s
Iteration 219... 208 sym states passed, 14 waiting 0.00300001s
Iteration 220... 209 sym states passed, 15 waiting 0.00400001s
Iteration 221... 210 sym states passed, 16 waiting 0.00600001s
Iteration 222... 211 sym states passed, 15 waiting 0.00300001s
Iteration 223... 212 sym states passed, 16 waiting 0.00400001s
Iteration 224... 213 sym states passed, 16 waiting 0.00600001s
Iteration 225... 214 sym states passed, 15 waiting 0.00300001s
Iteration 226... 215 sym states passed, 14 waiting 0.00400001s
Iteration 227... 216 sym states passed, 16 waiting 0.00500001s
Iteration 228... 217 sym states passed, 16 waiting 0.00600001s
Iteration 229... 218 sym states passed, 15 waiting 0.00300001s
Iteration 230... 219 sym states passed, 14 waiting 0.00300001s
Iteration 231... 220 sym states passed, 13 waiting 0.00300001s
Iteration 232... 221 sym states passed, 14 waiting 0.00500001s
Iteration 233... 222 sym states passed, 14 waiting 0.00500001s
Iteration 234... 223 sym states passed, 16 waiting 0.00600001s
Iteration 235... 224 sym states passed, 15 waiting 0.00200001s
Iteration 236... 225 sym states passed, 15 waiting 0.00300001s
Iteration 237... 226 sym states passed, 15 waiting 0.00300001s
Iteration 238... 227 sym states passed, 16 waiting 0.00600001s
Iteration 239... 228 sym states passed, 15 waiting 0.00200001s
Iteration 240... 229 sym states passed, 15 waiting 0.00300001s
Iteration 241... 230 sym states passed, 17 waiting 0.00600001s
Iteration 242... 231 sym states passed, 16 waiting 0.00200001s
Iteration 243... 232 sym states passed, 15 waiting 0.00200001s
Iteration 244... 233 sym states passed, 15 waiting 0.00300001s
Iteration 245... 234 sym states passed, 16 waiting 0.00600001s
Iteration 246... 235 sym states passed, 15 waiting 0.00200001s
Iteration 247... 236 sym states passed, 15 waiting 0.00300001s
Iteration 248... 237 sym states passed, 16 waiting 0.00400001s
Iteration 249... 238 sym states passed, 17 waiting 0.00500001s
Iteration 250... 239 sym states passed, 16 waiting 0.00600001s
Iteration 251... 240 sym states passed, 15 waiting 0.00300001s
Iteration 252... 241 sym states passed, 14 waiting 0.00300001s
Iteration 253... 242 sym states passed, 15 waiting 0.00500001s
Iteration 254... 243 sym states passed, 14 waiting 0.00500001s
Iteration 255... 244 sym states passed, 13 waiting 0.00300001s
Iteration 256... 245 sym states passed, 15 waiting 0.00500001s
Iteration 257... 246 sym states passed, 14 waiting 0.00500001s
Iteration 258... 247 sym states passed, 13 waiting 0.00500001s
Iteration 259... 248 sym states passed, 12 waiting 0.00300001s
Iteration 260... 249 sym states passed, 13 waiting 0.00400001s
Iteration 261... 250 sym states passed, 12 waiting 0.00500001s
Iteration 262... 251 sym states passed, 11 waiting 0.00300001s
Iteration 263... 252 sym states passed, 11 waiting 0.00300001s
Iteration 264... 253 sym states passed, 10 waiting 0.00600001s
Iteration 265... 254 sym states passed, 10 waiting 0.00300001s
Iteration 266... 255 sym states passed, 9 waiting 0.00500001s
Iteration 267... 256 sym states passed, 9 waiting 0.00300001s
Iteration 268... 257 sym states passed, 8 waiting 0.00600001s
Iteration 269... 258 sym states passed, 8 waiting 0.00300001s
